epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3721,1.21611,2.34008,1.51505,0.77438,0.16842,0.41519,0.22621,1.43678,3.05921,1.77918,0.000649573,0.000649573,0.000649573
2,54.5355,1.33747,1.97366,1.58158,0.35076,0.29474,0.19239,0.08205,2.01158,4.05841,3.18208,0.00129018,0.00129018,0.00129018
3,79.7503,1.40418,1.89461,1.64749,0.17061,0.21579,0.11143,0.03951,2.41232,3.4212,2.80072,0.00190438,0.00190438,0.00190438
4,101.935,1.41382,1.79144,1.65341,0.19484,0.18421,0.12163,0.04798,2.4817,3.91823,2.97874,0.0018812,0.0018812,0.0018812
5,125.473,1.43391,1.7286,1.64912,0.34814,0.29474,0.21178,0.07265,2.18278,2.85151,2.62493,0.0018416,0.0018416,0.0018416
6,147.455,1.39526,1.67682,1.64047,0.47457,0.31579,0.29319,0.13078,2.04875,2.62301,2.79241,0.001802,0.001802,0.001802
7,169.396,1.35724,1.52148,1.60827,0.40674,0.44023,0.32492,0.17097,1.82918,2.53819,2.38467,0.0017624,0.0017624,0.0017624
8,190.638,1.32072,1.50513,1.57838,0.5975,0.54211,0.47601,0.25351,1.56676,2.49592,1.97095,0.0017228,0.0017228,0.0017228
9,212.41,1.28679,1.4174,1.53375,0.72812,0.55789,0.62057,0.36557,1.54994,1.70239,1.84015,0.0016832,0.0016832,0.0016832
10,234.005,1.27624,1.34935,1.53501,0.6179,0.60428,0.54519,0.32043,1.54836,1.93091,1.91039,0.0016436,0.0016436,0.0016436
11,255.468,1.26869,1.3886,1.53311,0.6425,0.61053,0.54687,0.30062,1.49726,2.04291,1.94506,0.001604,0.001604,0.001604
12,278.285,1.26421,1.35491,1.52684,0.78997,0.59389,0.685,0.42881,1.38414,1.56326,1.76005,0.0015644,0.0015644,0.0015644
13,301.239,1.17353,1.25182,1.47265,0.71767,0.61053,0.60958,0.3553,1.49792,1.67273,1.85452,0.0015248,0.0015248,0.0015248
14,323.491,1.19252,1.19695,1.46877,0.74952,0.64571,0.70349,0.40338,1.48383,1.46244,1.82602,0.0014852,0.0014852,0.0014852
15,346.491,1.18887,1.19326,1.46612,0.75031,0.6168,0.66878,0.42325,1.35431,1.64339,1.66141,0.0014456,0.0014456,0.0014456
16,370.619,1.17646,1.18309,1.47387,0.57088,0.56316,0.55466,0.30352,1.61011,1.71301,1.90258,0.001406,0.001406,0.001406
17,391.933,1.17951,1.13402,1.45984,0.83226,0.61579,0.69056,0.43119,1.37614,1.3174,1.73663,0.0013664,0.0013664,0.0013664
18,413.57,1.15603,1.13484,1.42813,0.62998,0.70791,0.64566,0.38047,1.3309,1.42381,1.64424,0.0013268,0.0013268,0.0013268
